the            - 46
my             - 12
i              - 11
on             - 11
her            - 9
she            - 8
me             - 8
before         - 7
though         - 5
for            - 5
every          - 5
just           - 5
do             - 5
little         - 4
thing          - 4
does           - 4
is             - 4
magic          - 4
everything     - 4
turns          - 4
even           - 4
life           - 4
was            - 4
tragic         - 4
now            - 4
know           - 4
love           - 4
goes           - 4
a              - 4
and            - 4
to             - 3
have           - 3
i've           - 2
tell           - 2
of             - 2
that           - 2
thousand       - 2
it's           - 2
but            - 2
always         - 2
up             - 2
long           - 2
tried          - 1
feelings       - 1
in             - 1
heart          - 1
time           - 1
come           - 1
near           - 1
lose           - 1
nerve          - 1
as             - 1
done           - 1
from           - 1
start          - 1
story          - 1
rainy          - 1
days           - 1
since          - 1
we             - 1
first          - 1
met?           - 1
big            - 1
enough         - 1
umbrella       - 1
ends           - 1
getting        - 1
wet            - 1
resolved       - 1
call           - 1
times          - 1
day            - 1
ask            - 1
if             - 1
she'll         - 1
marry          - 1
some           - 1
old-fashioned  - 1
way            - 1
silent         - 1
fears          - 1
gripped        - 1
reach          - 1
phone          - 1
tongue         - 1
has            - 1
tripped        - 1
must           - 1
be             - 1
alone          - 1
